category,name,district,amount_instructed,pre_tax_billed_amount,total_value_with_tax
newspaper,AGRENDA,,6000.0,6000.0,7440.0
newspaper,ANAΓΝΩΣΤΗΣ ΕΛΑΣΣΟΝΑΣ,ΛΑΡΙΣΗΣ,1500.0,1500.0,1860.0
newspaper,ATHENS REVIEW OF BOOKS,ΑΤΤΙΚΗΣ,5000.0,5000.0,6200.0
newspaper,AXIANEWS,,6000.0,6000.0,7440.0
newspaper,DEAL NEWS,,5000.0,5000.0,6200.0
newspaper,DYTIKH FREE PRESS,ΑΤΤΙΚΗΣ,2000.0,2000.0,2480.0
newspaper,KONTRA NEWS,,36000.0,36000.0,44640.0
newspaper,LIVE SPORT,,4000.0,4000.0,4960.0
newspaper,METROSPORT,ΘΕΣΣΑΛΟΝΙΚΗΣ,8000.0,8000.0,9920.0
newspaper,PELLA NEWS,ΠΕΛΛΑΣ,1998.0,1998.0,2477.52
newspaper,REAL NEWS,,60000.0,60000.0,74400.0
newspaper,SPORT DAY,,7000.0,7000.0,8680.0
newspaper,SPORTIME,ΗΡΑΚΛΕΙΟΥ,7000.0,7000.0,8680.0
newspaper,ΑΓΡΟΕΚΦΡΑΣΗ,ΛΑΡΙΣΗΣ,1800.0,1800.0,2232.0
newspaper,ΑΓΩΝΑΣ ΤΗΣ ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,4000.0,4000.0,4960.0
newspaper,ΑΓΩΝΑΣ ΤΗΣ ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,2000.0,2000.0,2480.0
newspaper,ΑΙΧΜΗ,ΑΙΤ/ΝΙΑΣ,3600.0,3600.0,4464.0
newspaper,ΑΙΧΜΗ ΜΕΓΑΡΩΝ ΝΕΑΣ ΠΕΡΑΜΟΥ ΚΑΙ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,1000.0,1000.0,1240.0
newspaper,ΑΚΤΗ ΜΙΑΟΥΛΗ,ΑΤΤΙΚΗΣ,3000.0,3000.0,3720.0
newspaper,ΑΛΗΘΕΙΑ,ΧΙΟΥ,1998.0,1998.0,2337.66
newspaper,ΑΛΗΘΕΙΑ,ΧΑΝΙΩΝ,1400.0,1400.0,1736.0
newspaper,ΑΛΗΘΕΙΑ,ΚΑΡΔΙΤΣΑΣ,3000.0,3000.0,3720.0
newspaper,ΑΛΗΘΕΙΑ ΗΜΕΡΗΣΙΑ,ΚΑΡΔΙΤΣΑΣ,2000.0,2000.0,2480.0
newspaper,ΑΛΛΑΓΗ ΛΟΥΤΡΑΚΙΟΥ,ΚΟΡΙΝΘΟΥ,1000.0,1000.0,1240.0
newspaper,ΑΜΑΡΥΣΙΑ,ΑΤΤΙΚΗΣ,3000.0,3000.0,3720.0
newspaper,ΑΝΑΓΓΕΛΙΑ,ΑΙΤ/ΝΙΑΣ,3000.0,3000.0,3720.0
